width:12.24, height:6.962, time:0.0
width:12.239, height:6.964, time:0.0010094642639160156
width:12.211, height:6.965, time:0.004638671875
width:12.245, height:6.891, time:0.007638692855834961
width:12.244, height:6.943, time:0.008637189865112305
width:12.218, height:6.955, time:0.011895895004272461
width:12.219, height:7.002, time:0.0142364501953125
width:12.219, height:7.016, time:0.015750408172607422
width:12.194, height:6.923, time:0.018765687942504883
width:12.193, height:6.946, time:0.02165079116821289
width:12.218, height:6.908, time:0.024026155471801758
width:12.188, height:6.934, time:0.027344942092895508
width:12.186, height:6.935, time:0.027344942092895508
width:12.166, height:6.894, time:0.03083205223083496
width:12.165, height:6.924, time:0.034410715103149414
width:12.165, height:6.916, time:0.035414695739746094
width:12.165, height:6.941, time:0.03794670104980469
width:12.164, height:6.955, time:0.03896212577819824
width:12.164, height:6.98, time:0.041959285736083984
width:12.164, height:6.992, time:0.043958425521850586
width:12.163, height:7.031, time:0.0459597110748291
width:12.138, height:7.021, time:0.04695773124694824
width:12.138, height:6.984, time:0.04997658729553223
width:12.138, height:6.982, time:0.05197596549987793
width:12.187, height:6.959, time:0.054357051849365234
width:12.187, height:6.955, time:0.05575966835021973
width:12.207, height:6.937, time:0.05773806571960449
width:12.259, height:6.937, time:0.05975461006164551
width:12.177, height:6.9, time:0.062011003494262695
width:12.183, height:6.94, time:0.0650179386138916
width:12.184, height:6.942, time:0.06601881980895996
width:12.232, height:6.929, time:0.06901764869689941
width:12.182, height:6.929, time:0.07001852989196777
width:12.163, height:6.909, time:0.07301735877990723
width:12.163, height:6.92, time:0.07491803169250488
width:12.192, height:6.878, time:0.07738137245178223
width:12.193, height:6.816, time:0.08039045333862305
width:12.167, height:6.805, time:0.08139395713806152
width:12.154, height:6.773, time:0.08438897132873535
width:12.161, height:6.828, time:0.08582186698913574
width:12.16, height:6.822, time:0.08913993835449219
width:12.161, height:6.82, time:0.08913993835449219
width:12.119, height:6.786, time:0.09014344215393066
width:12.119, height:6.802, time:0.0937037467956543
width:12.202, height:6.766, time:0.09489655494689941
width:12.206, height:6.75, time:0.09772872924804688
width:12.23, height:6.738, time:0.1017446517944336
width:12.233, height:6.76, time:0.10374331474304199
width:12.206, height:6.739, time:0.1069800853729248
width:12.194, height:6.764, time:0.10918879508972168
width:12.194, height:6.758, time:0.11241507530212402
width:12.194, height:6.762, time:0.11399245262145996
width:12.194, height:6.771, time:0.11648440361022949
width:12.219, height:6.777, time:0.11794900894165039
width:12.194, height:6.76, time:0.12041544914245605
width:12.194, height:6.775, time:0.12381625175476074
width:12.219, height:6.794, time:0.1268596649169922
width:12.243, height:6.787, time:0.12945771217346191
width:12.219, height:6.755, time:0.13164448738098145
width:12.243, height:6.759, time:0.13264966011047363
width:12.218, height:6.768, time:0.13627338409423828
width:12.194, height:6.771, time:0.13768863677978516
width:12.194, height:6.778, time:0.14033222198486328
width:12.219, height:6.778, time:0.1417844295501709
width:12.219, height:6.747, time:0.14484143257141113
width:12.243, height:6.726, time:0.14756107330322266
width:12.244, height:6.725, time:0.14873600006103516
width:12.244, height:6.71, time:0.14988446235656738
width:12.255, height:6.676, time:0.15226149559020996
width:12.256, height:6.678, time:0.15326428413391113
width:12.253, height:6.641, time:0.1566791534423828
width:12.253, height:6.641, time:0.15769267082214355
width:12.289, height:6.702, time:0.16015386581420898
width:12.289, height:6.71, time:0.16115427017211914
width:12.292, height:6.723, time:0.1648268699645996
width:12.292, height:6.723, time:0.1658461093902588
width:12.292, height:6.692, time:0.16883158683776855
width:12.317, height:6.687, time:0.17118167877197266
width:12.292, height:6.687, time:0.1722865104675293
width:12.318, height:6.691, time:0.1752948760986328
width:12.318, height:6.685, time:0.17629528045654297
width:12.318, height:6.68, time:0.17930030822753906
width:12.319, height:6.637, time:0.1822950839996338
width:12.318, height:6.634, time:0.18329668045043945
width:12.318, height:6.651, time:0.186323881149292
width:12.344, height:6.648, time:0.18747448921203613
width:12.344, height:6.652, time:0.19048523902893066
width:12.344, height:6.65, time:0.19182991981506348
width:12.368, height:6.66, time:0.19444632530212402
width:12.343, height:6.646, time:0.19689655303955078
width:12.343, height:6.645, time:0.19789981842041016
width:12.343, height:6.645, time:0.19989585876464844
width:12.368, height:6.637, time:0.20238661766052246
width:12.393, height:6.624, time:0.20506834983825684
width:12.418, height:6.61, time:0.20706820487976074
width:12.368, height:6.592, time:0.20894837379455566
width:12.393, height:6.644, time:0.2119603157043457
width:12.393, height:6.656, time:0.21296358108520508
width:12.444, height:6.619, time:0.21696138381958008
width:12.444, height:6.644, time:0.21996116638183594
width:12.494, height:6.624, time:0.2228081226348877
width:12.444, height:6.626, time:0.22731900215148926
width:12.469, height:6.646, time:0.2283189296722412
width:12.494, height:6.661, time:0.2315061092376709
width:12.495, height:6.672, time:0.2339627742767334
width:12.494, height:6.675, time:0.23598504066467285
width:12.519, height:6.667, time:0.23889613151550293
width:12.519, height:6.662, time:0.24189186096191406
width:12.544, height:6.68, time:0.24389171600341797
width:12.544, height:6.673, time:0.24489164352416992
width:12.594, height:6.654, time:0.2484574317932129
width:12.619, height:6.624, time:0.2514467239379883
width:12.594, height:6.621, time:0.25244784355163574
width:12.618, height:6.696, time:0.25487542152404785
width:12.642, height:6.704, time:0.25688982009887695
width:12.618, height:6.672, time:0.2589590549468994
width:12.643, height:6.678, time:0.2623891830444336
width:12.643, height:6.677, time:0.26390671730041504
width:12.668, height:6.679, time:0.26640892028808594
width:12.643, height:6.699, time:0.2689197063446045
width:12.643, height:6.7, time:0.2709178924560547
width:12.643, height:6.71, time:0.27391695976257324
width:12.668, height:6.712, time:0.27666139602661133
width:12.643, height:6.691, time:0.2789726257324219
width:12.643, height:6.696, time:0.2828102111816406
width:12.643, height:6.687, time:0.28381848335266113
width:12.693, height:6.679, time:0.286360502243042
width:12.743, height:6.671, time:0.2898414134979248
width:12.717, height:6.661, time:0.29284048080444336
width:12.718, height:6.661, time:0.2950167655944824
width:12.743, height:6.67, time:0.2962613105773926
width:12.767, height:6.651, time:0.2996680736541748
width:12.767, height:6.648, time:0.3006761074066162
width:12.817, height:6.642, time:0.3036661148071289
width:12.792, height:6.614, time:0.3066706657409668
width:12.768, height:6.581, time:0.3076667785644531
width:12.767, height:6.632, time:0.308666467666626
width:12.767, height:6.627, time:0.3118441104888916
width:12.767, height:6.627, time:0.3118441104888916
width:12.766, height:6.66, time:0.31584692001342773
width:12.717, height:6.662, time:0.3164360523223877
width:12.691, height:6.66, time:0.3195030689239502
width:12.691, height:6.695, time:0.32249951362609863
width:12.691, height:6.695, time:0.3234996795654297
width:12.691, height:6.655, time:0.3260056972503662
width:12.691, height:6.657, time:0.32901716232299805
width:12.645, height:6.585, time:0.3300149440765381
width:12.666, height:6.67, time:0.3334503173828125
width:12.691, height:6.662, time:0.3351140022277832
width:12.692, height:6.621, time:0.3378729820251465
width:12.692, height:6.645, time:0.34087133407592773
width:12.667, height:6.636, time:0.34307432174682617
width:12.666, height:6.611, time:0.3450920581817627
width:12.666, height:6.625, time:0.34790658950805664
width:12.666, height:6.66, time:0.35079312324523926
width:12.666, height:6.653, time:0.3517889976501465
width:12.666, height:6.631, time:0.35478949546813965
width:12.661, height:6.637, time:0.3577899932861328
width:12.661, height:6.658, time:0.3602306842803955
width:12.661, height:6.668, time:0.36123108863830566
width:12.619, height:6.615, time:0.36423492431640625
width:12.644, height:6.622, time:0.3652307987213135
width:12.618, height:6.616, time:0.368485689163208
width:12.568, height:6.67, time:0.37148618698120117
width:12.568, height:6.676, time:0.372483491897583
width:12.568, height:6.692, time:0.37548351287841797
width:12.568, height:6.696, time:0.37699317932128906
width:12.567, height:6.734, time:0.3789942264556885
width:12.567, height:6.739, time:0.3809933662414551
width:12.618, height:6.693, time:0.38387036323547363
width:12.618, height:6.686, time:0.38492369651794434
width:12.593, height:6.663, time:0.3875696659088135
width:12.593, height:6.666, time:0.39017677307128906
width:12.591, height:6.669, time:0.391188383102417
width:12.593, height:6.663, time:0.39447569847106934
width:12.593, height:6.661, time:0.3956320285797119
width:12.567, height:6.647, time:0.39863085746765137
width:12.566, height:6.667, time:0.40166330337524414
width:12.566, height:6.675, time:0.40166330337524414
width:12.592, height:6.677, time:0.4040534496307373
width:12.592, height:6.685, time:0.4062044620513916
width:12.592, height:6.685, time:0.40723276138305664
