width:16.645, height:5.433, time:0.00099945068359375
width:16.62, height:5.409, time:0.0057468414306640625
width:16.568, height:5.438, time:0.013725757598876953
width:16.514, height:5.411, time:0.015301704406738281
width:16.518, height:5.43, time:0.01898980140686035
width:16.492, height:5.447, time:0.023820161819458008
width:16.489, height:5.436, time:0.026483774185180664
width:16.518, height:5.426, time:0.028562068939208984
width:16.519, height:5.422, time:0.029883861541748047
width:16.519, height:5.43, time:0.03312563896179199
width:16.519, height:5.434, time:0.03451251983642578
width:16.494, height:5.424, time:0.03600430488586426
width:16.515, height:5.432, time:0.03600430488586426
width:16.515, height:5.432, time:0.037889957427978516
width:16.519, height:5.413, time:0.04022550582885742
width:16.519, height:5.403, time:0.04345440864562988
width:16.493, height:5.436, time:0.04610753059387207
width:16.466, height:5.477, time:0.04911613464355469
width:16.466, height:5.471, time:0.050116777420043945
width:16.445, height:5.413, time:0.053314208984375
width:16.445, height:5.411, time:0.05645942687988281
width:16.42, height:5.402, time:0.0592188835144043
width:16.444, height:5.398, time:0.060643672943115234
width:16.369, height:5.407, time:0.06370306015014648
width:16.343, height:5.375, time:0.06446146965026855
width:16.392, height:5.405, time:0.06724858283996582
width:16.342, height:5.408, time:0.07025837898254395
width:16.368, height:5.364, time:0.07160711288452148
width:16.368, height:5.37, time:0.07422852516174316
width:16.368, height:5.374, time:0.07561564445495605
width:16.366, height:5.404, time:0.07830023765563965
width:16.367, height:5.406, time:0.07931184768676758
width:16.341, height:5.416, time:0.08261895179748535
width:16.34, height:5.42, time:0.08488798141479492
width:16.315, height:5.446, time:0.08590292930603027
width:16.266, height:5.451, time:0.08889937400817871
width:16.316, height:5.451, time:0.09090113639831543
width:16.316, height:5.453, time:0.09289979934692383
width:16.318, height:5.382, time:0.0959019660949707
width:16.344, height:5.371, time:0.0993492603302002
width:16.292, height:5.379, time:0.10035967826843262
width:16.293, height:5.375, time:0.10335826873779297
width:16.293, height:5.382, time:0.10787177085876465
width:16.295, height:5.384, time:0.11087489128112793
width:16.193, height:5.422, time:0.11490297317504883
width:16.193, height:5.43, time:0.11490297317504883
width:16.193, height:5.438, time:0.11635351181030273
width:16.244, height:5.466, time:0.11978292465209961
width:16.243, height:5.474, time:0.1217949390411377
width:16.217, height:5.457, time:0.12516570091247559
width:16.217, height:5.455, time:0.12616515159606934
width:16.192, height:5.487, time:0.1311662197113037
width:16.192, height:5.465, time:0.13216543197631836
width:16.269, height:5.49, time:0.13516974449157715
width:16.218, height:5.492, time:0.1381697654724121
width:16.219, height:5.388, time:0.14116740226745605
width:16.193, height:5.383, time:0.14416718482971191
width:16.193, height:5.44, time:0.14766335487365723
width:16.142, height:5.415, time:0.15020084381103516
width:16.168, height:5.381, time:0.15322351455688477
width:16.142, height:5.379, time:0.15422415733337402
width:16.168, height:5.363, time:0.15742206573486328
width:16.167, height:5.388, time:0.1620640754699707
width:16.143, height:5.4, time:0.16576719284057617
width:16.093, height:5.436, time:0.16877293586730957
width:16.144, height:5.347, time:0.17177295684814453
width:16.119, height:5.346, time:0.174774169921875
width:16.118, height:5.401, time:0.1794414520263672
width:16.092, height:5.375, time:0.18270087242126465
width:16.068, height:5.379, time:0.18387579917907715
width:16.045, height:5.429, time:0.18632984161376953
width:16.095, height:5.437, time:0.18734431266784668
width:16.095, height:5.437, time:0.18834376335144043
width:16.12, height:5.429, time:0.18934369087219238
width:16.095, height:5.409, time:0.19239354133605957
width:16.12, height:5.428, time:0.19509530067443848
width:16.12, height:5.423, time:0.19747710227966309
width:16.091, height:5.423, time:0.19998621940612793
width:15.992, height:5.456, time:0.20222139358520508
width:16.045, height:5.483, time:0.20513629913330078
width:16.045, height:5.46, time:0.20613956451416016
width:16.016, height:5.45, time:0.2096869945526123
width:16.019, height:5.383, time:0.21187496185302734
width:15.764, height:5.369, time:0.21538758277893066
width:15.725, height:5.356, time:0.21838760375976562
width:15.725, height:5.364, time:0.2193896770477295
width:15.725, height:5.373, time:0.222764253616333
width:16.019, height:5.347, time:0.22523021697998047
width:16.019, height:5.351, time:0.2288379669189453
width:16.019, height:5.367, time:0.2315504550933838
width:16.019, height:5.357, time:0.23455023765563965
width:16.018, height:5.354, time:0.23584985733032227
width:15.994, height:5.39, time:0.23859691619873047
width:15.994, height:5.4, time:0.2397139072418213
width:16.02, height:5.45, time:0.2427506446838379
width:15.97, height:5.421, time:0.24575352668762207
width:15.944, height:5.417, time:0.24875140190124512
width:15.92, height:5.483, time:0.251751184463501
width:15.963, height:5.407, time:0.25475215911865234
width:15.944, height:5.45, time:0.25675177574157715
width:15.944, height:5.453, time:0.2585921287536621
width:15.944, height:5.427, time:0.2617151737213135
