width:29.193, height:7.322, time:0.0
width:29.024, height:7.357, time:0.003748655319213867
width:29.293, height:7.361, time:0.006324052810668945
width:29.344, height:7.278, time:0.008628129959106445
width:29.343, height:7.245, time:0.011762380599975586
width:29.344, height:7.255, time:0.012768030166625977
width:29.29, height:7.289, time:0.01635122299194336
width:29.316, height:7.318, time:0.019501686096191406
width:29.365, height:7.338, time:0.02220463752746582
width:29.491, height:7.299, time:0.025435209274291992
width:29.593, height:7.365, time:0.027995586395263672
width:29.618, height:7.386, time:0.02949690818786621
width:29.693, height:7.426, time:0.03230094909667969
width:29.693, height:7.399, time:0.03363609313964844
width:29.59, height:7.332, time:0.03592348098754883
width:29.615, height:7.301, time:0.03893089294433594
width:29.639, height:7.33, time:0.039929866790771484
width:29.742, height:7.359, time:0.04293012619018555
width:29.717, height:7.372, time:0.04393172264099121
width:29.792, height:7.386, time:0.04708695411682129
width:29.792, height:7.384, time:0.049942731857299805
width:29.817, height:7.363, time:0.051366567611694336
width:29.816, height:7.34, time:0.05337357521057129
width:29.816, height:7.338, time:0.05537080764770508
width:29.866, height:7.355, time:0.05792093276977539
width:29.866, height:7.349, time:0.05893135070800781
width:29.892, height:7.299, time:0.0621342658996582
width:29.967, height:7.342, time:0.06575894355773926
width:29.941, height:7.349, time:0.06781983375549316
width:29.991, height:7.305, time:0.07032966613769531
width:29.991, height:7.286, time:0.07271862030029297
width:30.016, height:7.305, time:0.07521462440490723
width:30.092, height:7.332, time:0.07858419418334961
width:30.141, height:7.384, time:0.0806739330291748
width:30.191, height:7.324, time:0.08446860313415527
width:30.265, height:7.266, time:0.08695721626281738
width:30.266, height:7.28, time:0.08796119689941406
width:30.366, height:7.372, time:0.09104728698730469
width:30.367, height:7.384, time:0.09204936027526855
width:30.366, height:7.351, time:0.09545731544494629
width:30.391, height:7.345, time:0.09645771980285645
width:30.466, height:7.338, time:0.09945821762084961
width:30.466, height:7.353, time:0.10148739814758301
width:30.49, height:7.295, time:0.10500144958496094
width:30.49, height:7.289, time:0.10653066635131836
width:30.516, height:7.284, time:0.10852742195129395
width:30.516, height:7.28, time:0.11052989959716797
