width:24.314, height:6.907, time:0.0
width:24.29, height:6.844, time:0.013586997985839844
width:24.29, height:6.851, time:0.015176534652709961
width:24.238, height:6.891, time:0.018389463424682617
width:24.175, height:6.877, time:0.022907733917236328
width:24.419, height:6.889, time:0.026076316833496094
width:24.419, height:6.879, time:0.02860283851623535
width:24.445, height:6.9, time:0.0296785831451416
width:24.47, height:6.92, time:0.03260993957519531
width:24.494, height:6.911, time:0.03403973579406738
width:24.493, height:6.885, time:0.0373079776763916
width:24.47, height:6.86, time:0.039842844009399414
width:24.469, height:6.865, time:0.04281806945800781
width:24.469, height:6.867, time:0.04413485527038574
width:24.469, height:6.866, time:0.046759605407714844
width:24.469, height:6.864, time:0.04821276664733887
width:24.469, height:6.861, time:0.04937863349914551
width:24.494, height:6.867, time:0.05297255516052246
width:24.494, height:6.876, time:0.054308176040649414
width:24.494, height:6.884, time:0.05778074264526367
width:24.501, height:6.836, time:0.060982704162597656
width:24.502, height:6.836, time:0.06209611892700195
width:24.44, height:6.855, time:0.06442666053771973
width:24.465, height:6.863, time:0.06573891639709473
width:24.49, height:6.882, time:0.06874465942382812
width:24.491, height:6.894, time:0.07166814804077148
width:24.492, height:6.872, time:0.0731041431427002
width:24.492, height:6.869, time:0.07576584815979004
width:24.517, height:6.88, time:0.07717204093933105
width:24.46, height:6.834, time:0.07974457740783691
width:24.57, height:6.794, time:0.08255147933959961
width:24.57, height:6.794, time:0.08255147933959961
width:24.467, height:6.839, time:0.08564376831054688
width:24.467, height:6.846, time:0.08712029457092285
width:24.418, height:6.833, time:0.08964872360229492
width:24.441, height:6.842, time:0.09211301803588867
width:24.44, height:6.86, time:0.0947413444519043
width:24.465, height:6.872, time:0.09775638580322266
width:24.465, height:6.874, time:0.09940576553344727
width:24.466, height:6.88, time:0.10050463676452637
width:24.465, height:6.885, time:0.10533666610717773
width:24.44, height:6.886, time:0.1083517074584961
width:24.465, height:6.868, time:0.11091375350952148
width:24.465, height:6.88, time:0.11386632919311523
width:24.442, height:6.868, time:0.11821222305297852
width:24.442, height:6.865, time:0.12173295021057129
width:24.442, height:6.86, time:0.1246192455291748
width:24.442, height:6.854, time:0.12618613243103027
width:24.492, height:6.837, time:0.12880730628967285
width:24.593, height:6.837, time:0.13183164596557617
width:24.618, height:6.806, time:0.13485026359558105
width:24.542, height:6.742, time:0.13801908493041992
width:24.565, height:6.816, time:0.14113116264343262
width:24.564, height:6.816, time:0.1421356201171875
width:24.565, height:6.803, time:0.1453113555908203
width:24.541, height:6.807, time:0.147918701171875
width:24.566, height:6.826, time:0.14887332916259766
width:24.54, height:6.811, time:0.1525111198425293
width:24.54, height:6.801, time:0.1552889347076416
